,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Team
12,2023-07-21,19:30,World Cup,Group stage,Fri,Neutral,W,3,0,cr Costa Rica,4.7,0.1,80.0,22966.0,Ivana Andrés,4-2-3-1,3-4-3,Casey Reibelt,Match Report,,45.0,11.0,24.4,0.04,0.18,14.7,0.0,0,1,2023,Spain Women
13,2023-07-26,19:30,World Cup,Group stage,Wed,Neutral,W,5,0,zm Zambia,4.4,0.4,74.0,20983.0,Ivana Andrés,4-3-3,4-2-3-1,Oh Hyeonjeong,Match Report,,22.0,13.0,59.1,0.23,0.38,15.6,0.0,0,0,2023,Spain Women
14,2023-07-31,19:00,World Cup,Group stage,Mon,Neutral,L,0,4,jp Japan,0.7,0.9,76.0,20957.0,Olga Carmona,4-3-3,3-4-3,Katja Koroleva,Match Report,,10.0,2.0,20.0,0.0,0.0,22.1,0.0,0,0,2023,Spain Women
15,2023-08-05,17:00,World Cup,Round of 16,Sat,Neutral,W,5,1,ch Switzerland,3.5,0.3,69.0,43217.0,Esther González,4-3-3,4-3-3,Cheryl Foster,Match Report,,26.0,10.0,38.5,0.19,0.5,16.0,1.0,0,0,2023,Spain Women
16,2023-08-11,13:00,World Cup,Quarter-finals,Fri,Neutral,W,2,1,nl Netherlands,3.4,0.8,61.0,32021.0,Esther González,4-3-3,3-1-4-2,Stéphanie Frappart,Match Report,Required Extra Time,27.0,7.0,25.9,0.04,0.14,18.6,1.0,1,1,2023,Spain Women
17,2023-08-15,20:00,World Cup,Semi-finals,Tue,Neutral,W,2,1,se Sweden,1.6,0.9,60.0,43217.0,Olga Carmona,4-3-3,4-2-3-1,Edina Alves Batista,Match Report,,13.0,2.0,15.4,0.15,1.0,17.4,1.0,0,0,2023,Spain Women
18,2023-08-20,20:00,World Cup,Final,Sun,Neutral,W,1,0,eng England,2.2,0.5,56.0,75784.0,Olga Carmona,4-3-3,3-4-1-2,Tori Penso,Match Report,,12.0,4.0,33.3,0.08,0.25,15.2,0.0,0,1,2023,Spain Women
12,2023-07-22,19:30,World Cup,Group stage,Sat,Neutral,W,1,0,ht Haiti,2.6,0.7,74.0,44369.0,Millie Bright,4-3-3,4-2-3-1,Emikar Calderas,Match Report,,20.0,10.0,50.0,0.0,0.0,16.6,0.0,1,1,2023,England Women
13,2023-07-28,18:30,World Cup,Group stage,Fri,Neutral,W,1,0,dk Denmark,1.1,0.5,70.0,40439.0,Millie Bright,4-3-3,4-2-3-1,Tess Olofsson,Match Report,,13.0,4.0,30.8,0.08,0.25,13.9,0.0,0,0,2023,England Women
14,2023-08-01,20:30,World Cup,Group stage,Tue,Neutral,W,6,1,cn China PR,2.6,0.9,73.0,13497.0,Millie Bright,3-4-1-2,4-4-2,Casey Reibelt,Match Report,,17.0,7.0,41.2,0.35,0.86,13.9,0.0,0,0,2023,England Women
15,2023-08-07,17:30,World Cup,Round of 16,Mon,Neutral,D,0 (4),0 (2),ng Nigeria,0.9,1.2,56.0,49461.0,Millie Bright,3-4-1-2,4-2-3-1,Melissa Borjas Pastrana,Match Report,England won on penalty kicks following extra time,12.0,4.0,33.3,0.0,0.0,14.2,0.0,0,0,2023,England Women
