,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,PKatt,Season,Team
10,2019-06-11,21:00,World Cup,Group stage,Tue,Home,W,13,0,th Thailand,7.1,0.1,72.0,18591.0,Megan Rapinoe,4-3-3,4-4-1-1,Laura Fortunato,Match Report,,40.0,20.0,50.0,0.33,0.65,12.8,0.0,0.0,2019,United States Women
11,2019-06-16,18:00,World Cup,Group stage,Sun,Home,W,3,0,cl Chile,3.7,0.0,71.0,45594.0,Carli Lloyd,4-3-3,4-3-3,Riem Hussein,Match Report,,25.0,9.0,36.0,0.12,0.33,16.0,0.0,1.0,2019,United States Women
12,2019-06-20,21:00,World Cup,Group stage,Thu,Away,W,2,0,se Sweden,2.1,0.4,61.0,22418.0,Alex Morgan,4-3-3,4-2-3-1,Anastasia Pustovoitova,Match Report,,16.0,4.0,25.0,0.06,0.25,18.8,0.0,0.0,2019,United States Women
13,2019-06-24,18:00,World Cup,Round of 16,Mon,Away,W,2,1,es Spain,2.4,0.2,55.0,19633.0,Megan Rapinoe,4-3-3,4-3-3,Katalin Kulcsár,Match Report,,8.0,0.0,0.0,0.0,,22.3,2.0,2.0,2019,United States Women
14,2019-06-28,21:00,World Cup,Quarter-finals,Fri,Away,W,2,1,fr France,1.1,1.6,40.0,45595.0,Alex Morgan,4-3-3,4-2-3-1,Kateryna Monzul,Match Report,,10.0,8.0,80.0,0.2,0.25,18.9,0.0,0.0,2019,United States Women
15,2019-07-02,21:00,World Cup,Semi-finals,Tue,Away,W,2,1,eng England,0.9,1.7,43.0,53512.0,Alex Morgan,4-3-3,4-2-3-1,,Match Report,,10.0,4.0,40.0,0.2,0.5,16.5,0.0,0.0,2019,United States Women
16,2019-07-07,17:00,World Cup,Final,Sun,Home,W,2,0,nl Netherlands,3.0,0.2,53.0,57900.0,Megan Rapinoe,4-3-3,4-2-3-1,Stéphanie Frappart,Match Report,,16.0,9.0,56.3,0.06,0.11,15.8,1.0,1.0,2019,United States Women
19,2019-06-11,15:00,World Cup,Group stage,Tue,Away,W,1,0,nz New Zealand,2.4,0.7,69.0,10654.0,Sari van Veenendaal,4-3-3,4-4-1-1,Edina Alves Batista,Match Report,,16.0,3.0,18.8,0.06,0.33,13.6,0.0,0.0,2019,Netherlands Women
20,2019-06-15,15:00,World Cup,Group stage,Sat,Home,W,3,1,cm Cameroon,1.6,1.2,61.0,22423.0,Sari van Veenendaal,4-3-3,4-3-3,Casey Reibelt,Match Report,,11.0,4.0,36.4,0.27,0.75,18.9,0.0,0.0,2019,Netherlands Women
21,2019-06-20,18:00,World Cup,Group stage,Thu,Home,W,2,1,ca Canada,1.8,1.3,49.0,19277.0,Sari van Veenendaal,4-3-3,4-4-2,Stéphanie Frappart,Match Report,,8.0,2.0,25.0,0.25,1.0,15.3,0.0,0.0,2019,Netherlands Women
22,2019-06-25,21:00,World Cup,Round of 16,Tue,Home,W,2,1,jp Japan,1.8,1.2,53.0,21076.0,Sari van Veenendaal,4-3-3,4-4-2,Melissa Borjas,Match Report,,11.0,4.0,36.4,0.09,0.25,17.4,1.0,1.0,2019,Netherlands Women
23,2019-06-29,15:00,World Cup,Quarter-finals,Sat,Away,W,2,0,it Italy,1.6,1.2,63.0,22600.0,Sari van Veenendaal,4-3-3,4-4-2,Claudia Umpiérrez,Match Report,,20.0,9.0,45.0,0.1,0.22,17.8,0.0,0.0,2019,Netherlands Women
24,2019-07-03,21:00,World Cup,Semi-finals,Wed,Home,W,1,0,se Sweden,1.3,0.6,56.0,48452.0,Sari van Veenendaal,4-3-3,4-2-3-1,Marie-Soleil Beaudoin,Match Report,Required Extra Time,15.0,4.0,26.7,0.07,0.25,18.9,0.0,0.0,2019,Netherlands Women
25,2019-07-07,17:00,World Cup,Final,Sun,Away,L,0,2,us USA,0.2,3.0,47.0,57900.0,Sari van Veenendaal,4-2-3-1,4-3-3,Stéphanie Frappart,Match Report,,5.0,1.0,20.0,0.0,0.0,27.2,0.0,0.0,2019,Netherlands Women
14,2019-06-11,18:00,World Cup,Group stage,Tue,Away,W,2,0,cl Chile,2.5,0.2,69.0,15875.0,Caroline Seger,4-2-3-1,4-3-3,Lucila Venegas,Match Report,,24.0,6.0,25.0,0.08,0.33,16.0,0.0,0.0,2019,Sweden Women
15,2019-06-16,15:00,World Cup,Group stage,Sun,Home,W,5,1,th Thailand,5.2,0.6,72.0,9354.0,Caroline Seger,4-2-3-1,4-5-1,Salma Mukansanga,Match Report,,34.0,11.0,32.4,0.12,0.36,14.6,1.0,1.0,2019,Sweden Women
16,2019-06-20,21:00,World Cup,Group stage,Thu,Home,L,0,2,us USA,0.4,2.1,39.0,22418.0,Caroline Seger,4-2-3-1,4-3-3,Anastasia Pustovoitova,Match Report,,7.0,2.0,28.6,0.0,0.0,18.0,0.0,0.0,2019,Sweden Women
17,2019-06-24,21:00,World Cup,Round of 16,Mon,Home,W,1,0,ca Canada,1.3,1.2,41.0,38078.0,Caroline Seger,4-2-3-1,4-2-3-1,Kate Jacewicz,Match Report,,8.0,2.0,25.0,0.13,0.5,17.0,0.0,0.0,2019,Sweden Women
18,2019-06-29,18:30,World Cup,Quarter-finals,Sat,Away,W,2,1,de Germany,2.3,1.8,37.0,25301.0,Caroline Seger,4-2-3-1,4-4-2,Stéphanie Frappart,Match Report,,12.0,6.0,50.0,0.17,0.33,15.3,0.0,0.0,2019,Sweden Women
19,2019-07-03,21:00,World Cup,Semi-finals,Wed,Away,L,0,1,nl Netherlands,0.6,1.3,44.0,48452.0,Caroline Seger,4-2-3-1,4-3-3,Marie-Soleil Beaudoin,Match Report,Required Extra Time,11.0,3.0,27.3,0.0,0.0,16.6,0.0,0.0,2019,Sweden Women
20,2019-07-06,17:00,World Cup,Third-place match,Sat,Away,W,2,1,eng England,0.9,0.9,39.0,20316.0,Caroline Seger,4-2-3-1,4-1-4-1,Anastasia Pustovoitova,Match Report,,8.0,7.0,87.5,0.25,0.29,18.5,0.0,0.0,2019,Sweden Women
15,2019-06-09,18:00,World Cup,Group stage,Sun,Home,W,2,1,sct Scotland,2.0,0.9,59.0,13188.0,Steph Houghton,4-1-4-1,4-2-3-1,Jana Adamkova,Match Report,,13.0,5.0,38.5,0.08,0.2,19.9,1.0,1.0,2019,England Women
16,2019-06-14,21:00,World Cup,Group stage,Fri,Home,W,1,0,ar Argentina,3.4,0.1,74.0,20294.0,Steph Houghton,4-1-4-1,4-5-1,Qin Liang,Match Report,,16.0,6.0,37.5,0.06,0.17,14.6,0.0,1.0,2019,England Women
17,2019-06-19,21:00,World Cup,Group stage,Wed,Away,W,2,0,jp Japan,1.7,1.4,52.0,14319.0,Steph Houghton,4-1-4-1,4-4-2,Claudia Umpiérrez,Match Report,,14.0,6.0,42.9,0.14,0.33,21.0,0.0,0.0,2019,England Women
18,2019-06-23,17:30,World Cup,Round of 16,Sun,Home,W,3,0,cm Cameroon,2.1,0.5,68.0,20148.0,Steph Houghton,4-1-4-1,4-2-3-1,Qin Liang,Match Report,,7.0,3.0,42.9,0.43,1.0,14.4,0.0,0.0,2019,England Women
19,2019-06-27,21:00,World Cup,Quarter-finals,Thu,Away,W,3,0,no Norway,3.4,0.8,50.0,21111.0,Steph Houghton,4-1-4-1,4-4-2,Lucila Venegas,Match Report,,15.0,5.0,33.3,0.2,0.6,14.7,0.0,1.0,2019,England Women
20,2019-07-02,21:00,World Cup,Semi-finals,Tue,Home,L,1,2,us USA,1.7,0.9,57.0,53512.0,Steph Houghton,4-2-3-1,4-3-3,,Match Report,,5.0,3.0,60.0,0.2,0.33,15.9,0.0,1.0,2019,England Women
21,2019-07-06,17:00,World Cup,Third-place match,Sat,Home,L,1,2,se Sweden,0.9,0.9,61.0,20316.0,Steph Houghton,4-1-4-1,4-2-3-1,Anastasia Pustovoitova,Match Report,,14.0,3.0,21.4,0.07,0.33,24.3,0.0,0.0,2019,England Women
12,2019-06-08,15:00,World Cup,Group stage,Sat,Home,W,1,0,cn China PR,0.8,0.8,58.0,15283.0,Alexandra Popp,4-5-1,4-4-2,Marie-Soleil Beaudoin,Match Report,,16.0,4.0,25.0,0.06,0.25,19.1,0.0,0.0,2019,Germany Women
13,2019-06-12,18:00,World Cup,Group stage,Wed,Home,W,1,0,es Spain,1.7,0.9,38.0,20761.0,Alexandra Popp,4-4-2,4-3-3,Kateryna Monzul,Match Report,,13.0,7.0,53.8,0.08,0.14,15.4,0.0,0.0,2019,Germany Women
14,2019-06-17,18:00,World Cup,Group stage,Mon,Away,W,4,0,za South Africa,5.1,0.5,59.0,15502.0,Alexandra Popp,4-4-2,4-1-4-1,Sandra Braz,Match Report,,23.0,12.0,52.2,0.17,0.33,12.5,0.0,0.0,2019,Germany Women
15,2019-06-22,17:30,World Cup,Round of 16,Sat,Home,W,3,0,ng Nigeria,1.8,0.4,67.0,17988.0,Alexandra Popp,4-4-2,4-4-2,Yoshimi Yamashita,Match Report,,12.0,3.0,25.0,0.17,0.67,20.1,1.0,1.0,2019,Germany Women
16,2019-06-29,18:30,World Cup,Quarter-finals,Sat,Home,L,1,2,se Sweden,1.8,2.3,63.0,25301.0,Alexandra Popp,4-4-2,4-2-3-1,Stéphanie Frappart,Match Report,,13.0,6.0,46.2,0.08,0.17,20.8,0.0,0.0,2019,Germany Women
7,2019-06-07,21:00,World Cup,Group stage,Fri,Home,W,4,0,kr Korea Rep,1.6,0.4,66.0,45261.0,Amandine Henry,4-2-2-2,4-4-1-1,Claudia Umpiérrez,Match Report,,21.0,8.0,38.1,0.19,0.5,19.8,0.0,0.0,2019,France Women
8,2019-06-12,21:00,World Cup,Group stage,Wed,Home,W,2,1,no Norway,2.1,0.2,44.0,34872.0,Amandine Henry,4-4-2,4-4-2,Bibiana Steinhaus,Match Report,,15.0,5.0,33.3,0.07,0.2,17.1,1.0,1.0,2019,France Women
9,2019-06-17,21:00,World Cup,Group stage,Mon,Away,W,1,0,ng Nigeria,2.7,0.0,71.0,28267.0,Amandine Henry,4-4-2,4-3-3,Melissa Borjas,Match Report,,21.0,3.0,14.3,0.0,0.0,16.2,1.0,1.0,2019,France Women
10,2019-06-23,21:00,World Cup,Round of 16,Sun,Home,W,2,1,br Brazil,3.1,1.3,52.0,,Amandine Henry,4-4-2,4-4-2,Marie-Soleil Beaudoin,Match Report,Required Extra Time,17.0,3.0,17.6,0.12,0.67,14.4,0.0,0.0,2019,France Women
11,2019-06-28,21:00,World Cup,Quarter-finals,Fri,Home,L,1,2,us USA,1.6,1.1,60.0,45595.0,Amandine Henry,4-2-3-1,4-3-3,Kateryna Monzul,Match Report,,20.0,5.0,25.0,0.05,0.2,18.2,0.0,0.0,2019,France Women
13,2019-06-09,13:00,World Cup,Group stage,Sun,Away,W,2,1,au Australia,0.8,2.0,38.0,15380.0,Sara Gama,4-1-2-1-2◆,4-1-4-1,Melissa Borjas,Match Report,,6.0,3.0,50.0,0.33,0.67,18.6,0.0,0.0,2019,Italy Women
